"GEO_ID","NAME","P001001"
"id","Geographic Area Name","Total"
"1400000US06037434004","Census Tract 4340.04, Los Angeles County, California","2796"
"1400000US06037460000","Census Tract 4600, Los Angeles County, California","4851"
"1400000US06037460200","Census Tract 4602, Los Angeles County, California","5315"
"1400000US06037460301","Census Tract 4603.01, Los Angeles County, California","4638"
"1400000US06037460302","Census Tract 4603.02, Los Angeles County, California","4442"
"1400000US06037460401","Census Tract 4604.01, Los Angeles County, California","878"
"1400000US06037621301","Census Tract 6213.01, Los Angeles County, California","6769"
"1400000US06037621324","Census Tract 6213.24, Los Angeles County, California","3842"
"1400000US06037621326","Census Tract 6213.26, Los Angeles County, California","3260"
"1400000US06037621400","Census Tract 6214, Los Angeles County, California","4414"
"1400000US06037650001","Census Tract 6500.01, Los Angeles County, California","5853"
"1400000US06037650003","Census Tract 6500.03, Los Angeles County, California","3158"
"1400000US06037650004","Census Tract 6500.04, Los Angeles County, California","4005"
"1400000US06037650101","Census Tract 6501.01, Los Angeles County, California","5831"
"1400000US06037650102","Census Tract 6501.02, Los Angeles County, California","2248"
"1400000US06037650200","Census Tract 6502, Los Angeles County, California","5783"
"1400000US06037650300","Census Tract 6503, Los Angeles County, California","6704"
"1400000US06037650602","Census Tract 6506.02, Los Angeles County, California","7161"
"1400000US06037650401","Census Tract 6504.01, Los Angeles County, California","4472"
"1400000US06037650501","Census Tract 6505.01, Los Angeles County, California","3063"
"1400000US06037650502","Census Tract 6505.02, Los Angeles County, California","4294"
"1400000US06037650603","Census Tract 6506.03, Los Angeles County, California","3958"
"1400000US06037650604","Census Tract 6506.04, Los Angeles County, California","5412"
"1400000US06037650605","Census Tract 6506.05, Los Angeles County, California","2763"
"1400000US06037650701","Census Tract 6507.01, Los Angeles County, California","2521"
"1400000US06037650702","Census Tract 6507.02, Los Angeles County, California","4590"
"1400000US06037650800","Census Tract 6508, Los Angeles County, California","7074"
"1400000US06037650901","Census Tract 6509.01, Los Angeles County, California","5928"
"1400000US06037650902","Census Tract 6509.02, Los Angeles County, California","7103"
"1400000US06037651102","Census Tract 6511.02, Los Angeles County, California","3639"
"1400000US06037651001","Census Tract 6510.01, Los Angeles County, California","5522"
"1400000US06037651002","Census Tract 6510.02, Los Angeles County, California","4606"
"1400000US06037651101","Census Tract 6511.01, Los Angeles County, California","5103"
"1400000US06037651201","Census Tract 6512.01, Los Angeles County, California","5056"
"1400000US06037651221","Census Tract 6512.21, Los Angeles County, California","3291"
"1400000US06037651222","Census Tract 6512.22, Los Angeles County, California","6211"
"1400000US06037651402","Census Tract 6514.02, Los Angeles County, California","6050"
"1400000US06037651302","Census Tract 6513.02, Los Angeles County, California","6311"
"1400000US06037651304","Census Tract 6513.04, Los Angeles County, California","5114"
"1400000US06037651401","Census Tract 6514.01, Los Angeles County, California","2614"
"1400000US06037670001","Census Tract 6700.01, Los Angeles County, California","3311"
"1400000US06037670002","Census Tract 6700.02, Los Angeles County, California","4001"
"1400000US06037670003","Census Tract 6700.03, Los Angeles County, California","5788"
"1400000US06037670100","Census Tract 6701, Los Angeles County, California","6659"
"1400000US06037701601","Census Tract 7016.01, Los Angeles County, California","4165"
"1400000US06037701602","Census Tract 7016.02, Los Angeles County, California","4037"
"1400000US06037701701","Census Tract 7017.01, Los Angeles County, California","3196"
"1400000US06037701702","Census Tract 7017.02, Los Angeles County, California","3106"
"1400000US06037701801","Census Tract 7018.01, Los Angeles County, California","5867"
"1400000US06037701802","Census Tract 7018.02, Los Angeles County, California","4463"
"1400000US06037701902","Census Tract 7019.02, Los Angeles County, California","4016"
"1400000US06037702002","Census Tract 7020.02, Los Angeles County, California","5700"
"1400000US06037702102","Census Tract 7021.02, Los Angeles County, California","6306"
"1400000US06037702201","Census Tract 7022.01, Los Angeles County, California","4483"
"1400000US06037702202","Census Tract 7022.02, Los Angeles County, California","3751"
"1400000US06037702300","Census Tract 7023, Los Angeles County, California","6364"
"1400000US06037702400","Census Tract 7024, Los Angeles County, California","4541"
"1400000US06037702700","Census Tract 7027, Los Angeles County, California","3440"
"1400000US06037702501","Census Tract 7025.01, Los Angeles County, California","4625"
"1400000US06037702502","Census Tract 7025.02, Los Angeles County, California","4048"
"1400000US06037702600","Census Tract 7026, Los Angeles County, California","6069"
"1400000US06037702801","Census Tract 7028.01, Los Angeles County, California","5205"
"1400000US06037702802","Census Tract 7028.02, Los Angeles County, California","2282"
"1400000US06037702803","Census Tract 7028.03, Los Angeles County, California","2963"
"1400000US06037702901","Census Tract 7029.01, Los Angeles County, California","8866"
"1400000US06037703001","Census Tract 7030.01, Los Angeles County, California","5889"
"1400000US06037703002","Census Tract 7030.02, Los Angeles County, California","6605"
"1400000US06037703100","Census Tract 7031, Los Angeles County, California","5446"
"1400000US06037703200","Census Tract 7032, Los Angeles County, California","5629"
"1400000US06037800101","Census Tract 8001.01, Los Angeles County, California","5485"
"1400000US06037800102","Census Tract 8001.02, Los Angeles County, California","7078"
"1400000US06037800202","Census Tract 8002.02, Los Angeles County, California","6319"
"1400000US06037800203","Census Tract 8002.03, Los Angeles County, California","5643"
"1400000US06037800204","Census Tract 8002.04, Los Angeles County, California","6740"
"1400000US06037800324","Census Tract 8003.24, Los Angeles County, California","6664"
"1400000US06037800325","Census Tract 8003.25, Los Angeles County, California","3407"
"1400000US06059063009","Census Tract 630.09, Orange County, California","1674"
"1400000US06059063010","Census Tract 630.10, Orange County, California","7096"
"1400000US06059063101","Census Tract 631.01, Orange County, California","2733"
"1400000US06059063102","Census Tract 631.02, Orange County, California","6257"
"1400000US06059063103","Census Tract 631.03, Orange County, California","2643"
"1400000US06059063201","Census Tract 632.01, Orange County, California","3801"
"1400000US06059063202","Census Tract 632.02, Orange County, California","3556"
"1400000US06059063301","Census Tract 633.01, Orange County, California","2941"
"1400000US06059063302","Census Tract 633.02, Orange County, California","4165"
"1400000US06059063400","Census Tract 634, Orange County, California","4795"
"1400000US06059063500","Census Tract 635, Orange County, California","5775"
"1400000US06059063601","Census Tract 636.01, Orange County, California","3647"
"1400000US06059074801","Census Tract 748.01, Orange County, California","5499"
"1400000US06059074802","Census Tract 748.02, Orange County, California","5845"
"1400000US06059074803","Census Tract 748.03, Orange County, California","9053"
"1400000US06059074805","Census Tract 748.05, Orange County, California","5962"
"1400000US06059074901","Census Tract 749.01, Orange County, California","9170"
"1400000US06059074902","Census Tract 749.02, Orange County, California","6627"
"1400000US06059075002","Census Tract 750.02, Orange County, California","8605"
"1400000US06059075003","Census Tract 750.03, Orange County, California","7408"
"1400000US06059075004","Census Tract 750.04, Orange County, California","5245"
"1400000US06059075100","Census Tract 751, Orange County, California","9983"
"1400000US06059075202","Census Tract 752.02, Orange County, California","5753"
